"Time","PRICE"
2016-01-06 10:05:00,171.17
2016-01-06 10:10:00,171.67
2016-01-06 10:15:00,171.3
2016-01-06 10:20:00,170.85
2016-01-06 10:25:00,171.56
2016-01-06 10:30:00,171.37
2016-01-06 10:35:00,171.11
2016-01-06 10:40:00,171.06
2016-01-06 10:45:00,171.12
2016-01-06 10:50:00,171.11
2016-01-06 10:55:00,171.15
2016-01-06 11:00:00,171.27
2016-01-06 11:05:00,171.53
2016-01-06 11:10:00,171.23
2016-01-06 11:15:00,171.21
2016-01-06 11:20:00,171.31
2016-01-06 11:25:00,171.72
2016-01-06 11:30:00,171.6
2016-01-06 11:35:00,171.37
2016-01-06 11:40:00,171.45
2016-01-06 11:45:00,171.07
2016-01-06 11:50:00,171.12
2016-01-06 11:55:00,171.07
2016-01-06 12:00:00,170.81
2016-01-06 12:05:00,170.65
2016-01-06 12:10:00,170.71
2016-01-06 12:15:00,170.78
2016-01-06 12:20:00,170.7
2016-01-06 12:25:00,170.71
2016-01-06 12:30:00,170.62
2016-01-06 12:35:00,170.65
2016-01-06 12:40:00,171.02
2016-01-06 12:45:00,170.86
2016-01-06 12:50:00,170.77
2016-01-06 12:55:00,170.81
2016-01-06 13:00:00,170.64
2016-01-06 13:05:00,170.62
2016-01-06 13:10:00,170.48
2016-01-06 13:15:00,170.35
2016-01-06 13:20:00,170.4
2016-01-06 13:25:00,170.45
2016-01-06 13:30:00,170.43
2016-01-06 13:35:00,170.71
2016-01-06 13:40:00,170.78
2016-01-06 13:45:00,170.68
2016-01-06 13:50:00,170.61
2016-01-06 13:55:00,170.7
2016-01-06 14:00:00,170.6
2016-01-06 14:05:00,170.45
2016-01-06 14:10:00,170.79
2016-01-06 14:15:00,170.91
2016-01-06 14:20:00,170.92
2016-01-06 14:25:00,170.9
2016-01-06 14:30:00,170.81
2016-01-06 14:35:00,170.84
2016-01-06 14:40:00,170.67
2016-01-06 14:45:00,170.1
2016-01-06 14:50:00,170
2016-01-06 14:55:00,169.81
2016-01-06 15:00:00,169.2
2016-01-06 15:05:00,169.37
2016-01-06 15:10:00,169.5
2016-01-06 15:15:00,169.57
2016-01-06 15:20:00,169.98
2016-01-06 15:25:00,170
2016-01-06 15:30:00,170.25
2016-01-06 15:35:00,170.43
2016-01-06 15:40:00,170.75
2016-01-06 15:45:00,170.45
2016-01-06 15:50:00,170.25
2016-01-06 15:55:00,170.21
2016-01-06 16:00:00,169.98
